"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1218.96/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x48bc56ad832cf5fa88118eb279dd0eebfc33d570d92009623c49bd1ca72a1056","12967990","1628207089","2021-08-05 23:44:49","0xf60c2ea62edbfe808163751dd0d8693dcb30019c","0x81aced167afc56155c0d689d6e87210ff0101e04","","1.70469","0","2077.9489224","0.00252","3.0717792","2829.23","","","Transfer",""
"0xd5f8410f604f7b5f4948183ff34cf6e5fde9a82fa5414005176beeb733d0eb13","12968034","1628207602","2021-08-05 23:53:22","0x81aced167afc56155c0d689d6e87210ff0101e04","0xe592427a0aece92de3edee1f18e0157c05861564","","0","0.84","1023.9264","0.0103894945","12.66437821572","2829.23","","","0xc04b8d59",""
"0x089d6fb4a578bbc70993cf72e48139009b1a190b625442702afbed3f6c0d2894","12968043","1628207710","2021-08-05 23:55:10","0x81aced167afc56155c0d689d6e87210ff0101e04","0xe592427a0aece92de3edee1f18e0157c05861564","","0","0.84","1023.9264","0.0092810872","11.313274053312","2829.23","","","0xc04b8d59",""
"0x6cc93a264c0aca76accaf460b3a940938eb7ddc0af6c79f9c90301a20eecb50b","13205118","1631372395","2021-09-11 14:59:55","0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511","0x81aced167afc56155c0d689d6e87210ff0101e04","","0.15048999","0","183.4412782104","0.001570131339735","1.91392729788338","3266.43","","","Transfer",""
"0x126010eae4c6cd77d2d790d380b6c7a8c51391e46a4bf32cc03e9c1243aa889d","13205165","1631372924","2021-09-11 15:08:44","0x81aced167afc56155c0d689d6e87210ff0101e04","0x07bac35846e5ed502aa91adf6a9e7aa210f2dcbe","","0","0","0","0.00600812951322672","7.32366955144284","3266.43","","","Approve",""
"0xadda092b38ee142d457438a6ecd1d805a021d28f4db20c57e240256466055b9a","13205166","1631372949","2021-09-11 15:09:09","0x81aced167afc56155c0d689d6e87210ff0101e04","0x11111112542d85b3ef69ae05771c2dccff4faa26","","0","0","0","0.00880704","10.7354294784","3266.43","","","Unoswap",""
"0x7d59f3533928063a66992722292810f488d41257e219486d1502a8d2796f69d6","13205178","1631373170","2021-09-11 15:12:50","0x81aced167afc56155c0d689d6e87210ff0101e04","0x11111112542d85b3ef69ae05771c2dccff4faa26","","0","0","0","0.008287092","10.10163366432","3266.43","","","Unoswap",""
"0xa1496ccd984707a3ec19f1554a42050739f8a24bd590fac330f3f90bdc7d05fa","13205212","1631373682","2021-09-11 15:21:22","0x81aced167afc56155c0d689d6e87210ff0101e04","0x07bac35846e5ed502aa91adf6a9e7aa210f2dcbe","","0","0","0","0.0036401629","4.437212968584","3266.43","","","Approve",""
"0x30d9a639189a734d97cab03a6df2515ecdad7176b55ad6411b642f6740b80ba7","13205221","1631373797","2021-09-11 15:23:17","0x81aced167afc56155c0d689d6e87210ff0101e04","0x11111112542d85b3ef69ae05771c2dccff4faa26","","0","0","0","0.00880704","10.7354294784","3266.43","","","Unoswap",""
"0x6fa4854ead631ac5859dad330f5c129af1e7bad4e33d96ea3a737a889478c1e3","13205231","1631373911","2021-09-11 15:25:11","0x81aced167afc56155c0d689d6e87210ff0101e04","0x11111112542d85b3ef69ae05771c2dccff4faa26","","0","0","0","0.0075846584","9.245395203264","3266.43","","","Unoswap",""
"0xf45e7b6ab131d11d4e943822ec5c71cc89f802994773de9429283282bf3ed56a","13205235","1631373969","2021-09-11 15:26:09","0x81aced167afc56155c0d689d6e87210ff0101e04","0x11111112542d85b3ef69ae05771c2dccff4faa26","","0","0","0","0.009174","11.18273904","3266.43","","","Unoswap",""
"0x21e4ac28b2caf3cfe7c5d4b91c66de4345d654d326a6e981f0d42673f0dbc68b","13205270","1631374295","2021-09-11 15:31:35","0x81aced167afc56155c0d689d6e87210ff0101e04","0x11111112542d85b3ef69ae05771c2dccff4faa26","","0","0","0","0.0094196564","11.482184365344","3266.43","","","Unoswap",""
"0x47efc0f658f0bd4f12677e18bb85a100eff2d487c66f861aadd1b5359f6df216","13205408","1631375982","2021-09-11 15:59:42","0x81aced167afc56155c0d689d6e87210ff0101e04","0xe786295126fffa2a23b799a9a7d723a20d7cd2e2","","0","3.780489649019340985","4608.26566256862","0.0015477","1.886584392","3266.43","","","Transfer",""
"0x495222b1d2aa0f7e60e17176fdfc5f30f450d67f6bcbcaf68b511d7e51026ec8","13685326","1637868557","2021-11-25 19:29:17","0x3cd751e6b0078be393132286c442345e5dc49699","0x81aced167afc56155c0d689d6e87210ff0101e04","","1.11240768","0","1355.9804656128","0.002460887531802","2.99972346576537","4523.80","","","Transfer",""
"0xc4ddd7067f49dd703e02abbc60aa957db9066ef17f9fb5bcf63af2e7bf76ef17","14091006","1643330288","2022-01-28 00:38:08","0x3cd751e6b0078be393132286c442345e5dc49699","0x81aced167afc56155c0d689d6e87210ff0101e04","","1.98121243","0","2415.0187036728","0.003234831025125","3.94312962638637","2547.03","","","Transfer",""
"0x500f93e262cd415e0b055485ff7dc66c891b6500b63642f9c695b019b34aa4fb","14095780","1643394361","2022-01-28 18:26:01","0x81aced167afc56155c0d689d6e87210ff0101e04","0x4d34b20908a41e2fa587a46022d57c7ede318024","","0","3.306819519799685111","4030.88072185502","0.003703324172709","4.51420403356536","2547.03","","","Transfer",""
"0x64bd4f5a7343566c61581c558481c9c05b5c889e7fc97f7a4f47884adf5fe014","14095819","1643394799","2022-01-28 18:33:19","0x4d34b20908a41e2fa587a46022d57c7ede318024","0x81aced167afc56155c0d689d6e87210ff0101e04","","3.302","0","4025.00592","0.004002504199554","4.87889251908834","2547.03","","","Transfer",""
"0xd444cb17783344d69c217efa11d2c6bdc9a9d8bc19a48b536ed1fd4fb3c782bd","14095856","1643395353","2022-01-28 18:42:33","0x81aced167afc56155c0d689d6e87210ff0101e04","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","1.3","1584.648","0.0080257716","9.783094549536","2547.03","","","Deposit",""
"0xe8fa70c0b8b60457f483e3c17f6dbe594400195477160684bcaed381de09b2b3","14095942","1643396589","2022-01-28 19:03:09","0x81aced167afc56155c0d689d6e87210ff0101e04","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.0080580632","9.822456718272","2547.03","","","Approve",""
"0x9a9e4ccea17f40658b1c92325b98b9242d13cdd36655cfb15d153e46259cc793","14107640","1643552613","2022-01-30 14:23:33","0x81aced167afc56155c0d689d6e87210ff0101e04","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.0068003595","8.28936621612","2603.24","","","Cancel Order_",""
"0x6b9cc7870dcf897e0f9edf345b788fd4e8b635c746f54c279a44d782ca39e2fb","14618641","1650412762","2022-04-19 23:59:22","0x81aced167afc56155c0d689d6e87210ff0101e04","0x7eef591a6cc0403b9652e98e88476fe1bf31ddeb","","0","0","0","0.003044657137331456","3.71131526412155","3102.52","","","Safe Transfer From",""
"0x6a672ddeeb63a9572d95a9051c822e0237f636e42bd537648aae1f5b7723ad88","14720437","1651797807","2022-05-06 00:43:27","0x81aced167afc56155c0d689d6e87210ff0101e04","0x39b5d336df6d1b4c1b7d666a5979e47ee98804f1","","0","0.146268596680799869","178.295568610028","0.000780494106609","0.951391096192107","2692.08","","","Transfer",""
"0x260d1250d183f0e4fa4e2b1367a9c43b737db4c9dc7d36c3692708048f673103","14776670","1652572524","2022-05-14 23:55:24","0x81aced167afc56155c0d689d6e87210ff0101e04","0x9056b8c300dfea2424c87792e54dafb9e897bd40","","0","0.000021","0.02559816","0.000456571479945","0.556542371193757","2054.03","","","Transfer",""
"0xa82685edafbc5fcd5f93c1e741080238a1fefe8d616ac0f4a24cb63b479aa3b5","14776700","1652572932","2022-05-15 00:02:12","0x81aced167afc56155c0d689d6e87210ff0101e04","0x9056b8c300dfea2424c87792e54dafb9e897bd40","","0","0.00169896","2.0709642816","0.00041993533281","0.511884373282078","2143.12","","","Transfer",""
"0x71d7d440bd7062cb4300c8d24ffd0a683cbddf7017eab37659439b1921ef8a50","14776739","1652573384","2022-05-15 00:09:44","0x81aced167afc56155c0d689d6e87210ff0101e04","0x9056b8c300dfea2424c87792e54dafb9e897bd40","","0","0.003","3.65688","0.000481863229218","0.587372001887573","2143.12","","","Transfer",""
"0xc8c12dd6cb6544e570d3370a0d45ab9f7f61f3ad1787f79a87fb78aeb5479f75","14796618","1652846398","2022-05-18 03:59:58","0x81aced167afc56155c0d689d6e87210ff0101e04","0x90384e76b6b3ddb47396ff85144819ded148900d","","0","0","0","0.006936293506510056","8.4550643326955","1911.68","","","Allow List Mint",""
"0x10ea4c0733f166e01ddb74d13dd1a821cc93e1636ab5221717e69e2f50a33c79","14808965","1653019781","2022-05-20 04:09:41","0x81aced167afc56155c0d689d6e87210ff0101e04","0xa5409ec958c83c3f309868babaca7c86dcb077c1","","0","0","0","0.010265435943161184","12.5131557972758","1956.88","","","Register Proxy",""
"0xd5ffc5ab9c032e069386ef46fe676f526e9ec23e1d298fcb52f45529e0c24502","14808967","1653019793","2022-05-20 04:09:53","0x81aced167afc56155c0d689d6e87210ff0101e04","0x7eef591a6cc0403b9652e98e88476fe1bf31ddeb","","0","0","0","0.00116310785546232","1.41778195149435","1956.88","","","Set Approval For All",""
"0x5dd9d4d86879ac2accc31ad907d2ca57cbac75fae4d0d82941a5dbd02149152f","14808982","1653019924","2022-05-20 04:12:04","0x81aced167afc56155c0d689d6e87210ff0101e04","0x90384e76b6b3ddb47396ff85144819ded148900d","","0","0","0","0.000801844543074846","0.977416424226514","1956.88","","","Set Approval For All",""
"0x4385c66cae6d4e4f9cb4858dc998e08104103e963df0eaf4f24f1b4fb6ba91f1","14820557","1653182098","2022-05-22 01:14:58","0x81aced167afc56155c0d689d6e87210ff0101e04","0x7f268357a8c2552623316e2562d90e642bb538e5","","0","0","0","0.00327634088758045","3.99372848832507","2041.08","","","Atomic Match_",""
